asset_id,source,timestamp_local,timestamp_utc,ghi_w_m2,actual_power_kw,expected_power_kw,residual_kw,energy_kwh_net,quality_flag
pv_demo_colombia,sam_csv_sample,2026-01-01T06:00:00-05:00,2026-01-01T11:00:00Z,0.0,0.0,0.0,0.0,0.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T07:00:00-05:00,2026-01-01T12:00:00Z,120.0,85.0,120.0,-35.0,85.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T08:00:00-05:00,2026-01-01T13:00:00Z,350.0,260.0,350.0,-90.0,260.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T09:00:00-05:00,2026-01-01T14:00:00Z,620.0,510.0,620.0,-110.0,510.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T10:00:00-05:00,2026-01-01T15:00:00Z,810.0,735.0,810.0,-75.0,735.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T11:00:00-05:00,2026-01-01T16:00:00Z,930.0,840.0,930.0,-90.0,840.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T12:00:00-05:00,2026-01-01T17:00:00Z,980.0,890.0,980.0,-90.0,890.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T13:00:00-05:00,2026-01-01T18:00:00Z,870.0,790.0,870.0,-80.0,790.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T14:00:00-05:00,2026-01-01T19:00:00Z,640.0,560.0,640.0,-80.0,560.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T15:00:00-05:00,2026-01-01T20:00:00Z,390.0,310.0,390.0,-80.0,310.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T16:00:00-05:00,2026-01-01T21:00:00Z,140.0,95.0,140.0,-45.0,95.0,ok
pv_demo_colombia,sam_csv_sample,2026-01-01T17:00:00-05:00,2026-01-01T22:00:00Z,10.0,0.0,10.0,-10.0,0.0,ok
